council_area,num_births,num_deaths,reg_year,pct_births,pct_deaths
City of Edinburgh,5130,5261,1996-01-01,0.493696468097392,0.506303531902608
City of Edinburgh,5110,5008,1997-01-01,0.5050405218422613,0.49495947815773866
City of Edinburgh,4857,4892,1998-01-01,0.49820494409683047,0.5017950559031695
City of Edinburgh,4764,5036,1999-01-01,0.48612244897959184,0.5138775510204082
City of Edinburgh,4643,4813,2000-01-01,0.49101099830795264,0.5089890016920474
City of Edinburgh,4489,4717,2001-01-01,0.4876167716706496,0.5123832283293505
City of Edinburgh,4477,4545,2002-01-01,0.49623143427178007,0.5037685657282199
City of Edinburgh,4577,4581,2003-01-01,0.4997816117056126,0.5002183882943875
City of Edinburgh,4568,4387,2004-01-01,0.510106085985483,0.48989391401451704
City of Edinburgh,4691,4475,2005-01-01,0.511782675103644,0.4882173248963561
City of Edinburgh,4894,4217,2006-01-01,0.5371528921084403,0.46284710789155964
City of Edinburgh,5056,4293,2007-01-01,0.5408065033693443,0.4591934966306557
City of Edinburgh,5440,4291,2008-01-01,0.5590381255780495,0.44096187442195045
City of Edinburgh,5475,4202,2009-01-01,0.5657745168957321,0.43422548310426784
City of Edinburgh,5552,4190,2010-01-01,0.5699035105727777,0.43009648942722234
City of Edinburgh,5560,4232,2011-01-01,0.5678104575163399,0.43218954248366015
City of Edinburgh,5606,4265,2012-01-01,0.5679262486070307,0.43207375139296933
City of Edinburgh,5486,4254,2013-01-01,0.5632443531827516,0.43675564681724843
City of Edinburgh,5554,4154,2014-01-01,0.5721054800164812,0.42789451998351874
City of Edinburgh,5274,4326,2015-01-01,0.549375,0.450625
City of Edinburgh,5300,4361,2016-01-01,0.5485974536797433,0.4514025463202567
Glasgow City,7696,8646,1996-01-01,0.47093379023375354,0.5290662097662465
Glasgow City,7609,8217,1997-01-01,0.48079110324782004,0.51920889675218
Glasgow City,7146,8365,1998-01-01,0.4607053059119335,0.5392946940880665
Glasgow City,6830,8441,1999-01-01,0.44725296313273527,0.5527470368672648
Glasgow City,6578,7797,2000-01-01,0.4576,0.5424
Glasgow City,6645,7680,2001-01-01,0.4638743455497382,0.5361256544502618
Glasgow City,6386,7688,2002-01-01,0.45374449339207046,0.5462555066079295
Glasgow City,6573,7695,2003-01-01,0.46068124474348193,0.5393187552565181
Glasgow City,6612,7251,2004-01-01,0.4769530404674313,0.5230469595325687
Glasgow City,6833,7072,2005-01-01,0.491405969075872,0.508594030924128
Glasgow City,6617,6999,2006-01-01,0.4859723854289072,0.5140276145710928
Glasgow City,7154,7002,2007-01-01,0.5053687482339644,0.4946312517660356
Glasgow City,7371,6907,2008-01-01,0.5162487743381426,0.4837512256618574
Glasgow City,7512,6571,2009-01-01,0.5334090747710005,0.4665909252289995
Glasgow City,7565,6325,2010-01-01,0.5446364290856731,0.45536357091432683
Glasgow City,7631,6403,2011-01-01,0.5437508906940288,0.45624910930597123
Glasgow City,7543,6499,2012-01-01,0.5371741917105826,0.46282580828941744
Glasgow City,7254,6305,2013-01-01,0.5349952061361457,0.4650047938638543
Glasgow City,7465,6205,2014-01-01,0.5460863204096562,0.45391367959034384
Glasgow City,7086,6515,2015-01-01,0.5209911035953239,0.47900889640467614
Glasgow City,6833,6321,2016-01-01,0.5194617606811617,0.4805382393188384
Aberdeen City,2402,2357,1996-01-01,0.5047278840092456,0.4952721159907544
Aberdeen City,2366,2249,1997-01-01,0.5126760563380282,0.48732394366197185
Aberdeen City,2339,2208,1998-01-01,0.5144051022652298,0.48559489773477016
Aberdeen City,2311,2322,1999-01-01,0.49881286423483706,0.5011871357651629
Aberdeen City,2088,2289,2000-01-01,0.477039067854695,0.522960932145305
Aberdeen City,2097,2190,2001-01-01,0.48915325402379284,0.5108467459762072
Aberdeen City,2098,2208,2002-01-01,0.4872271249419415,0.5127728750580586
Aberdeen City,2003,2176,2003-01-01,0.47930126824599184,0.5206987317540082
Aberdeen City,2075,2143,2004-01-01,0.4919393077287814,0.5080606922712186
Aberdeen City,2061,2121,2005-01-01,0.4928263988522238,0.5071736011477762
Aberdeen City,2200,2089,2006-01-01,0.5129400792725577,0.4870599207274423
Aberdeen City,2417,2180,2007-01-01,0.5257776810963672,0.4742223189036328
Aberdeen City,2596,2135,2008-01-01,0.548721200591841,0.45127879940815896
Aberdeen City,2564,2056,2009-01-01,0.554978354978355,0.44502164502164504
Aberdeen City,2599,2021,2010-01-01,0.5625541125541126,0.43744588744588747
Aberdeen City,2608,1973,2011-01-01,0.5693080113512333,0.4306919886487666
Aberdeen City,2688,2078,2012-01-01,0.5639949643306756,0.43600503566932436
Aberdeen City,2500,2047,2013-01-01,0.5498130635583901,0.45018693644160984
Aberdeen City,2565,2187,2014-01-01,0.5397727272727273,0.4602272727272727
Aberdeen City,2609,2187,2015-01-01,0.5439949958298582,0.4560050041701418
Aberdeen City,2521,2129,2016-01-01,0.5421505376344086,0.4578494623655914
